date,id,region,pid,province,cases acc,cases new,deaths acc,deaths new
2020-03-02,12,Galicia,15,"Coruña, A",0,0,0.0,0.0
2020-03-02,12,Galicia,27,Lugo,0,0,0.0,0.0
2020-03-02,12,Galicia,32,Ourense,0,0,0.0,0.0
2020-03-02,12,Galicia,36,Pontevedra,0,0,0.0,0.0
2020-03-02,17,"Rioja, La",26,"Rioja, La",1,1,0.0,0.0
2020-03-02,13,"Madrid, Comunidad de",28,Madrid,51,25,0.0,0.0
2020-03-02,19,Melilla,52,Melilla,0,0,0.0,0.0
2020-03-02,14,"Murcia, Región de",30,Murcia,0,0,0.0,0.0
2020-03-02,15,"Navarra, Comunidad Foral de",31,Navarra,1,0,0.0,0.0
2020-03-03,1,Andalucía,4,Almería,0,0,0.0,0.0
2020-03-03,1,Andalucía,11,Cádiz,0,0,0.0,0.0
2020-03-03,1,Andalucía,14,Córdoba,0,0,0.0,0.0
2020-03-03,1,Andalucía,18,Granada,0,0,0.0,0.0
2020-03-03,1,Andalucía,21,Huelva,0,0,0.0,0.0
2020-03-03,1,Andalucía,23,Jaén,1,0,0.0,0.0
2020-03-03,1,Andalucía,29,Málaga,3,1,0.0,0.0
2020-03-03,1,Andalucía,41,Sevilla,3,0,0.0,0.0
2020-03-03,2,Aragón,22,Huesca,0,0,0.0,0.0
2020-03-03,2,Aragón,44,Teruel,0,0,0.0,0.0
2020-03-03,2,Aragón,50,Zaragoza,1,0,0.0,0.0
2020-03-03,3,"Asturias, Principado de",33,Asturias,1,0,0.0,0.0
2020-03-03,4,"Balears, Illes",7,"Balears, Illes",2,0,0.0,0.0
2020-03-03,5,Canarias,35,"Palmas, Las",0,0,0.0,0.0
2020-03-03,5,Canarias,38,Santa Cruz de Tenerife,6,1,0.0,0.0
2020-03-03,6,Cantabria,39,Cantabria,10,0,0.0,0.0
2020-03-03,8,Castila-La Mancha,2,Albacete,1,0,0.0,0.0
2020-03-03,8,Castila-La Mancha,13,Ciudad Real,0,0,0.0,0.0
2020-03-03,8,Castila-La Mancha,16,Cuenca,0,0,0.0,0.0
2020-03-03,8,Castila-La Mancha,19,Guadalajara,2,1,0.0,0.0
2020-03-03,8,Castila-La Mancha,45,Toledo,2,2,0.0,0.0
2020-03-03,18,Ceuta,51,Ceuta,0,0,0.0,0.0
2020-03-03,10,Comunitat Valenciana,3,Alicante,0,0,0.0,0.0
2020-03-03,10,Comunitat Valenciana,12,Castellón,1,0,0.0,0.0
